timestamp,layer,no_phase2,best_epoch,best_auc_roc_macro,f1_macro_at_best,min_val_loss,epochs,batch_size,lr,max_train_samples,max_val_samples,seed,n_train,n_val,hidden_size,output_dir
2026-06-05 15:30:40,-1,False,4,0.7746114467420159,0.2434384629597956,0.2962751001874102,10,64,0.001,20000,5000,42,20000,5000,1408,vit_sanity_check_results_50pct_layer-1
2026-06-05 15:35:10,-2,False,5,0.7745263471124711,0.2206871180077917,0.2923003472859346,10,64,0.001,20000,5000,42,20000,5000,1408,vit_sanity_check_results_50pct_layer-2
2026-06-05 15:39:46,-3,False,6,0.777583880454718,0.2373602243856013,0.291515340156193,10,64,0.001,20000,5000,42,20000,5000,1408,vit_sanity_check_results_50pct_layer-3
2026-06-05 15:44:17,-4,False,5,0.7757911924717863,0.2455350252842942,0.2913065435765665,10,64,0.001,20000,5000,42,20000,5000,1408,vit_sanity_check_results_50pct_layer-4
2026-06-05 15:48:50,-6,False,9,0.7777921457734696,0.22572021781967408,0.28927800210216376,10,64,0.001,20000,5000,42,20000,5000,1408,vit_sanity_check_results_50pct_layer-6
