timestamp,combo_num,r,alpha,lr,epoch,train_loss,val_loss,bleu4,rougeL
2026-04-24 21:50:00,1,8,8,0.0001,1,0.6147610473632813,0.6045759916305542,0.0177626296526786,0.1715686201635846
2026-04-24 21:59:43,1,8,8,0.0001,2,0.5137957000732422,0.5222845673561096,0.0041076027185677,0.122196743792527
2026-04-24 22:09:26,1,8,8,0.0001,3,0.4756705856323242,0.4891111552715301,0.0175741290989934,0.1331003331140831
2026-04-24 22:19:09,1,8,8,0.0001,4,0.454114646911621,0.4715748131275177,0.0259135065728031,0.1809419519743072
2026-04-24 22:28:55,2,8,16,0.0001,1,0.5507324600219726,0.5525431036949158,0.0291305927380294,0.1677322996671981
2026-04-24 22:38:49,2,8,16,0.0001,2,0.4790119171142578,0.4931643903255462,0.0236630058388681,0.1500872926557343
2026-04-24 22:48:43,2,8,16,0.0001,3,0.4508230590820312,0.4696867763996124,0.0254943512211554,0.1657111667428851
2026-04-24 22:58:27,2,8,16,0.0001,4,0.4347145080566406,0.4559515416622162,0.0263923370542481,0.1744555451156294
2026-04-24 23:08:17,3,16,16,0.0001,1,0.5573310089111329,0.5583845973014832,0.022673845869429,0.1537709479709029
2026-04-24 23:18:01,3,16,16,0.0001,2,0.4788418197631836,0.4927456974983215,0.025667499321054,0.1359734749674343
2026-04-24 23:27:47,3,16,16,0.0001,3,0.4483272552490234,0.4682705104351043,0.0247716543075187,0.1696865239550772
2026-04-24 23:37:30,3,16,16,0.0001,4,0.4317253112792968,0.4542505443096161,0.0210510236547477,0.1965642962487327
2026-04-25 00:48:26,4,16,32,0.0001,1,0.5144155502319336,0.52161705493927,0.025804127880038906,0.16274117904275726
2026-04-25 00:58:07,4,16,32,0.0001,2,0.45326255798339843,0.47169023752212524,0.04085028948410509,0.21844285704932725
2026-04-25 01:07:48,4,16,32,0.0001,3,0.42809955596923827,0.4509024918079376,0.049371735324931824,0.22959637175119765
2026-04-25 01:17:29,4,16,32,0.0001,4,0.4111882019042969,0.4387427866458893,0.03463885219033765,0.21953437976844703
2026-04-25 01:27:17,5,32,32,0.0001,1,0.5163143157958985,0.5242339372634888,0.028589862069159037,0.191766004653743
2026-04-25 01:37:01,5,32,32,0.0001,2,0.45256996154785156,0.4724988341331482,0.044028684075993495,0.22079416633962187
2026-04-25 01:46:45,5,32,32,0.0001,3,0.4266664123535156,0.451009064912796,0.04763880293244385,0.22660115641868622
2026-04-25 01:56:28,5,32,32,0.0001,4,0.4104384613037109,0.43833598494529724,0.0354019837879943,0.2257105770591486
2026-04-25 02:06:20,6,32,64,0.0001,1,0.47966129302978516,0.49280092120170593,0.02943786796904281,0.20413627688288802
2026-04-25 02:16:03,6,32,64,0.0001,2,0.42732700347900393,0.451605886220932,0.03945586936039625,0.22544831078545197
2026-04-25 02:25:49,6,32,64,0.0001,3,0.40397064208984373,0.4331094026565552,0.04672390591600366,0.2144744566879004
2026-04-25 02:35:33,6,32,64,0.0001,4,0.38679664611816406,0.4213102459907532,0.039645554390040326,0.20820728066404004
