Step,Val_Loss,BLEU,ROUGE-L
50,1.0830605030059814,0.0013556167315112223,0.038981894683147986
100,0.6574104428291321,0.21449176157535657,0.4288430116504317
150,0.5798275470733643,0.1840020406565971,0.42525133203051607
200,0.5419648289680481,0.21150062509246273,0.42483715929076
250,0.5180603265762329,0.19710766733117324,0.4330106461640942
300,0.5026635527610779,0.23806713850717262,0.46228226761903635
350,0.4904542565345764,0.23418503249686828,0.44477921438529217
400,0.4818401634693146,0.18387832126791406,0.40725572362298246
450,0.47327306866645813,0.23027383496050313,0.4485777660969768
500,0.4665999710559845,0.20990775655349647,0.41625037461584463
550,0.46424004435539246,0.21484781095566846,0.4286257773512306
600,0.4582587480545044,0.20778733709040023,0.4357780440812219
650,0.45331868529319763,0.2179912053043593,0.4304621069923567
700,0.4497140049934387,0.19167401555745858,0.4261893270454726
750,0.44586431980133057,0.24588475360594475,0.44162040528981444
800,0.4450324475765228,0.23573942005316076,0.44628584250706715
850,0.44320371747016907,0.23260080742702907,0.4432818613779005
900,0.43875250220298767,0.18636730204208565,0.399174859469289
950,0.4378795027732849,0.2507594578240944,0.4660191204757542
1000,0.4324879050254822,0.2371022843941701,0.44786064302626327
1050,0.4326612055301666,0.24572184298167554,0.4570338863647805
1100,0.42975950241088867,0.23106157233071728,0.416909628515358
1150,0.4273550510406494,0.2131617196674805,0.41616934916466647
1200,0.42788243293762207,0.2264580984536112,0.42828525003867474
1250,0.4251977205276489,0.23697350217040541,0.4656937136279684
1300,0.4232396185398102,0.21416019884611145,0.4353554339905575
1350,0.42309334874153137,0.2270621397161622,0.43886489553635033
1400,0.4220495820045471,0.22312484997898513,0.43298003947641533
1450,0.42173391580581665,0.2243402195316591,0.4414608790185203
1500,0.42006611824035645,0.24422829662878848,0.43337601219560473
1550,0.41673043370246887,0.195122562032735,0.3910622973954382
1600,0.41739872097969055,0.21217946937875592,0.42335940734908034
1650,0.41778820753097534,0.2405722202486416,0.42731702811650407
1700,0.4158034026622772,0.2202719991685883,0.45280847905832855
1750,0.41414615511894226,0.21850420327895262,0.4135878074336852
1800,0.4113765358924866,0.22863697795684576,0.4112644786998218
1850,0.414313942193985,0.20290696978593592,0.4144643089859265
1900,0.4100983738899231,0.22062749391061934,0.43777917647158765
1950,0.4115413725376129,0.22681840809021292,0.42828708385195896
2000,0.41006532311439514,0.24030986904115362,0.4473666825466848
2050,0.4119471609592438,0.2048829853581823,0.39853262249489146
2100,0.4093470275402069,0.22219963433240303,0.4046132058464415
2150,0.408829003572464,0.22400777575408695,0.439540410113011
2200,0.4095630943775177,0.22667014336955613,0.4294533297391135
2250,0.40838032960891724,0.21060119765723986,0.4224999884574336
2300,0.40633660554885864,0.21026989766623416,0.40024249054943895
2350,0.4097406566143036,0.22302242819261167,0.43299065110543716
2400,0.4082392454147339,0.24598778178245315,0.41816944051008265
2450,0.40547630190849304,0.21126300115894334,0.39456611246684914
2500,0.4068710505962372,0.22936839796183725,0.41072894778447433
2550,0.40695351362228394,0.2430550218628369,0.44342573651798584
2600,0.40565991401672363,0.22017882463679636,0.405767825195407
2650,0.40485653281211853,0.2429668139731594,0.44514951410334264
2700,0.4057545065879822,0.2150857909742339,0.422779551196631
2750,0.4053136706352234,0.23248891737683539,0.41512737259931626
2800,0.40479859709739685,0.2296060948941973,0.4260303372829466
2850,0.405514657497406,0.22993192324338904,0.4202328632929811
2900,0.40638676285743713,0.22805217162221503,0.42655453285357325
2950,0.40493783354759216,0.2282135497564504,0.4301496128036477
3000,0.4041574001312256,0.21908012880875144,0.4068162721664795
3050,0.4048904478549957,0.2399997869143893,0.4152590475068464
3100,0.4049672782421112,0.22034577123971644,0.4130841041210818
3150,0.40478137135505676,0.23831115754268392,0.428211418609545
3200,0.4028734266757965,0.20282804244050184,0.3962828515328931
3250,0.40631768107414246,0.25517418794715047,0.4365501642265261
3300,0.40315622091293335,0.22569081153102605,0.41209980103429067
3350,0.40417593717575073,0.2294143167009731,0.44183669350099214
3400,0.4050028920173645,0.22270181200880554,0.414407271545275
3450,0.4059321880340576,0.21961087345827265,0.4137518650298078
3500,0.40322020649909973,0.21917758517742103,0.40257612039763485
3550,0.4075280427932739,0.20780594871875202,0.42135083421264363
3600,0.4049719274044037,0.26336748621352457,0.4717900433094398
3650,0.40624070167541504,0.22358080238016673,0.40972575423162894
3700,0.40533846616744995,0.24109127463978466,0.4176604642506414
