Step,Val_Loss,BLEU,ROUGE-L
50,1.4184259176254272,0.0,0.0
100,0.7484936118125916,0.18893877089323344,0.3902220056633327
150,0.6310128569602966,0.20494486168100465,0.432206173021088
200,0.5824699997901917,0.19295982174815762,0.4162044021605182
250,0.5509098768234253,0.2028408006572646,0.43878268641736157
300,0.5328851342201233,0.24890137410936133,0.4808320731348302
350,0.51679527759552,0.21447258588571338,0.43113179804699386
400,0.5066627264022827,0.21366678404090433,0.42166188177814357
450,0.49579206109046936,0.23610709797923193,0.4518830564989782
500,0.4883013069629669,0.21163540129940808,0.44427050385158834
550,0.48455190658569336,0.2088491345678697,0.40067627046592796
600,0.4778021275997162,0.2051755923048039,0.4406368765511972
650,0.47189444303512573,0.2286242875266447,0.43335247276838856
700,0.46812620759010315,0.20255973490672308,0.42259183001438083
750,0.4632686376571655,0.2349011885103742,0.4111319652631976
800,0.46064460277557373,0.22814761863592886,0.42170751701316694
850,0.45869988203048706,0.23596540162533805,0.4226002875606982
900,0.4554612636566162,0.19429653110076203,0.3978978381484377
950,0.45317086577415466,0.2494993770033229,0.4523638785650625
1000,0.4495534598827362,0.22146809605307144,0.43422598685053115
1050,0.44839972257614136,0.2520322656390357,0.46181439370941824
1100,0.446445107460022,0.22639709748497033,0.43593604401552377
1150,0.44324246048927307,0.2276573127462656,0.4452140974396921
1200,0.4440459609031677,0.2167816561565065,0.4351267625519337
1250,0.4402858316898346,0.24589294821966703,0.47252760960104195
1300,0.43901440501213074,0.21674637912542796,0.4241978876263888
1350,0.4373679757118225,0.23464243208295127,0.4320188155833479
1400,0.4359530210494995,0.22178455450756115,0.4436011609749492
1450,0.43644315004348755,0.22234754357034614,0.3850898702666628
1500,0.43404334783554077,0.24293764423941977,0.4420281849874771
1550,0.4308758080005646,0.2109012474821095,0.4160515485573817
1600,0.43117475509643555,0.21886585925811036,0.43053975606928724
1650,0.42971038818359375,0.24107105102581594,0.4213444874772961
1700,0.4284364879131317,0.22524334982909727,0.45572278217522777
1750,0.42766353487968445,0.22080363049099705,0.41689816712541217
1800,0.42524272203445435,0.22111212222175747,0.40177176312279145
1850,0.42718714475631714,0.20869440210813578,0.4060361711968711
1900,0.4244925379753113,0.2126706013725611,0.4357167315161846
1950,0.42379167675971985,0.22543286711832614,0.4360917313064208
2000,0.4237326979637146,0.2220688469526739,0.4005768508981442
2050,0.42319053411483765,0.2222066047537866,0.4490460036525545
2100,0.4214795231819153,0.21785895990697182,0.4101705517726409
2150,0.4202607572078705,0.22259250104073738,0.3958338911765479
2200,0.42041414976119995,0.22316096627686066,0.4269073346030805
