epoch,train_loss,val_loss,auc_roc_macro,f1_macro
1,0.292206373006692,0.29006676885146127,0.7785733173812427,0.2342734038220385
2,0.28642545453756973,0.295580324492877,0.781165719138209,0.21341747090721025
3,0.284844359832776,0.2873428318696686,0.7805075381595817,0.21888524099877407
4,0.28378043698251565,0.2889939893650103,0.7836559397768685,0.20917433478985936
5,0.282920658023267,0.28905459351931945,0.783791525806689,0.2783735820677944
6,0.28252491983752726,0.2899179277540762,0.788246495871519,0.21870480014251753
7,0.2820694812189428,0.2885975209595282,0.7853038740915704,0.20908509679604942
8,0.2814510578269061,0.2894280217116392,0.7848694263640927,0.2500233880707069
9,0.28133681086725876,0.28754143039636976,0.7846629698564548,0.2639897824391409
10,0.28107701278453945,0.28664464380922194,0.7853288806026055,0.27267202043617583
