epoch,train_loss,val_loss,auc_roc_macro,f1_macro
1,0.29427128313426726,0.296940146933628,0.7705895119930242,0.22215094587269046
2,0.2877667724399457,0.2908883209847197,0.7784455483257798,0.22131879635109897
3,0.2858337022424946,0.2917289671641362,0.7817613530265721,0.24084959642994633
4,0.28490069592966233,0.2878454887791525,0.7822362055170003,0.21871267662173396
5,0.283860328224091,0.2888871933086009,0.7807260108786361,0.21406798037502345
6,0.28340810420732915,0.288805201083799,0.7831850132004846,0.2415388647834633
7,0.2826894541385937,0.2887171770952925,0.782751215100437,0.22546884133307635
8,0.28239052712316415,0.2919760461472258,0.7814788679909501,0.21634905657741182
9,0.2819152266659876,0.28856528522093083,0.7834714187608023,0.2355589003184512
10,0.28174443604479144,0.29015866091734244,0.7833416577899067,0.2608000760176676
