config,n_samples,bleu_4,rouge_l,radgraph_f1,pred_chexpert_no_finding,pred_chexpert_enlarged_cardiomediastinum,pred_chexpert_cardiomegaly,pred_chexpert_lung_opacity,pred_chexpert_lung_lesion,pred_chexpert_edema,pred_chexpert_consolidation,pred_chexpert_pneumonia,pred_chexpert_atelectasis,pred_chexpert_pneumothorax,pred_chexpert_pleural_effusion,pred_chexpert_pleural_other,pred_chexpert_fracture,pred_chexpert_support_devices,chexpert_match_no_finding,chexpert_match_enlarged_cardiomediastinum,chexpert_match_cardiomegaly,chexpert_match_lung_opacity,chexpert_match_lung_lesion,chexpert_match_edema,chexpert_match_consolidation,chexpert_match_pneumonia,chexpert_match_atelectasis,chexpert_match_pneumothorax,chexpert_match_pleural_effusion,chexpert_match_pleural_other,chexpert_match_fracture,chexpert_match_support_devices,chexpert_precision,chexpert_recall,chexpert_f1
Config_A1,397,0.04768974310384858,0.1501509920674787,0.10661043202001444,0.15228426395939088,0.5882352941176471,-0.15,-0.4227941176470588,0.4913294797687861,0.9024390243902439,-0.017421602787456445,0.23949579831932774,-0.010238907849829351,0.057291666666666664,-0.6235955056179775,-0.5778688524590164,0.3502824858757062,1.0,0.34532374100719426,0.19457013574660634,0.2689075630252101,0.4965753424657534,0.41786743515850144,0.35714285714285715,0.30067567567567566,0.38620689655172413,0.5478547854785478,0.7106382978723405,0.29310344827586204,0.036734693877551024,0.23380281690140844,0.26501766784452296,0.12894748068269918,0.3656277056277056,0.32803904016775304
Config_A2,397,0.04367018607891276,0.14530737567844543,0.10810589991902834,0.28780487804878047,0.7532467532467533,0.03007518796992481,-0.4805194805194805,0.6142857142857143,0.8518518518518519,-0.1656441717791411,0.31,-0.11764705882352941,0.07924528301886792,-0.7349397590361446,-0.4275618374558304,0.33064516129032256,1.0,0.3392857142857143,0.19678714859437751,0.2598684210526316,0.484472049689441,0.31339031339031337,0.359375,0.27492447129909364,0.3735408560311284,0.5491329479768786,0.823728813559322,0.273972602739726,0.014084507042253521,0.31989247311827956,0.20437956204379562,0.12384800760435277,0.41822510822510817,0.30315145315145314
Config_B1,397,0.052139538211246034,0.1494283516554519,0.12367944220814377,0.22950819672131148,0.48058252427184467,0.12254901960784313,-0.3554006968641115,-0.07731958762886598,0.7671232876712328,-0.1270358306188925,0.11173184357541899,-0.18702290076335878,-0.03070175438596491,-0.7814569536423841,0.02040816326530612,0.1935483870967742,1.0,0.4253731343283582,0.34649122807017546,0.19230769230769232,0.3618421052631579,0.37628865979381443,0.38311688311688313,0.23248407643312102,0.44081632653061226,0.5270758122743683,0.5144927536231884,0.29646017699115046,0.10483870967741936,0.23843416370106763,0.23183391003460208,0.11930405942033849,0.3258874458874459,0.31921772970160067
Config_B2,397,0.041426745084681464,0.1325872454287684,0.10305862899006087,0.06091370558375635,0.4470588235294118,0.1111111111111111,-0.31141868512110726,-0.02849740932642487,0.9158878504672897,0.2507462686567164,0.16587677725118483,-0.09302325581395349,-0.2345679012345679,-0.6710526315789473,-0.18085106382978725,0.215625,1.0,0.4254545454545455,0.2936802973977695,0.23529411764705882,0.4527687296416938,0.3756476683937824,0.3465909090909091,0.2807017543859649,0.38461538461538464,0.6139240506329114,0.5318181818181819,0.31140350877192985,0.1872791519434629,0.140625,0.18991097922848665,0.09890304491570315,0.26913419913419917,0.31044226937084085
