epoch,train_loss,val_loss,auc_roc_macro,f1_macro
1,0.2950854884121662,0.29438263819187505,0.7703021101742056,0.22992759307193442
2,0.2886057038090862,0.2917343581779094,0.7720780369296637,0.21324034495953462
3,0.286622279733634,0.291621731806405,0.775916135568934,0.20876708808984198
4,0.285427527199041,0.29414803581901744,0.7793836021129597,0.27005531555208623
5,0.2847562707420501,0.29029637424251703,0.7748307516252314,0.22101894894081103
6,0.28401193813927406,0.2895825177053862,0.7780297165184601,0.2502005482929299
7,0.2836343179198909,0.2908043176690234,0.7798578241311048,0.22422227597255745
8,0.2829756380214865,0.2876899506472334,0.7796494293199457,0.24008478508686082
9,0.2826690230155529,0.2906986546667316,0.7806765415844066,0.22517853276956284
10,0.2823809436377115,0.2911766365736346,0.7806163423071987,0.23235626335792323
