metrica,media_sucio,media_limpio,delta_medio,std_sucio,std_limpio,mejora_pct,n_mejoran,n_empeoran,n_iguales
bleu4,0.09880856824260933,0.03873642131304477,-0.06007214692956458,0.08414063044339855,0.043620530292315704,-60.79649568655484,884,18253,0
rougeL,0.23532784499564416,0.20151917210199377,-0.033808672893650374,0.09288716723475478,0.08710203792983046,-14.366626649845097,4460,14636,41
radgraph,0.158789661897873,0.15261374976562922,-0.006175912132243789,0.13490085381683287,0.13241974121971656,-3.88936663661132,7988,6632,4517
bertscore_p,0.7635393749803574,0.7384819827427614,-0.025057392237595944,0.037734088294050235,0.03582507476918552,-3.2817419845886224,2531,16606,0
bertscore_r,0.7731012561736501,0.7325473666539939,-0.04055388951965613,0.04432851627147501,0.03962008045311403,-5.245611644763273,63,19074,0
bertscore_f1,0.767652245971821,0.7349745874190122,-0.03267765855280877,0.034546488902758896,0.03214522882288336,-4.256830970570534,433,18704,0
