epoch,train_loss,val_loss,auc_roc_macro,f1_macro
1,0.2915694759733907,0.29213036030908174,0.7737610835852926,0.22308202289147797
2,0.28606507926106284,0.2913549214224272,0.7820679307428277,0.2434604344242953
3,0.2846049902548426,0.29041615317139446,0.7835377006891262,0.20796546185508322
4,0.28378607701122105,0.2903541924455498,0.7841244918342402,0.2626643702581223
5,0.2831787627961163,0.29172976333883743,0.7832279116889932,0.26767992384227574
6,0.2823977320027134,0.28937586708159385,0.7854300898279349,0.2082200538287718
7,0.282028008919465,0.2882432596215719,0.7850106292891007,0.2737056524401467
8,0.2816285272014868,0.2901674212911461,0.780135613491502,0.22868963518189617
9,0.28136094065451933,0.2865413504688046,0.7844422438476674,0.27308412613129784
10,0.2806927661124869,0.287781548085092,0.7851032558878082,0.23848509347587216
