epoch,train_loss,val_loss,val_macro_precision,val_macro_recall,val_macro_f1,val_macro_auroc,val_micro_f1,lr
1,1.1608108557831618,1.1193149083612812,0.2203150502962669,0.6135046915237602,0.3001455786514276,0.6680409341356229,0.34917285926793634,0.0005
2,1.0572367374675409,1.015648381129445,0.2684788686587458,0.6807379567093343,0.3558248321716942,0.7511125657361182,0.41474598031423854,0.001
3,0.9764732643207583,0.9696389239424413,0.28176057540075083,0.7026305615136902,0.37104697355915567,0.7707887024665264,0.4317260621061611,0.000998292246503335
4,0.9426809415429163,0.9514133686715776,0.2870126027960456,0.7084604643625431,0.3775777603090361,0.777852091865494,0.43975558455288466,0.0009931806517013613
5,0.9260605821760706,0.9421132628545421,0.2899930191858533,0.7143922297783721,0.3808680258029681,0.7813410473093231,0.4431153681031547,0.0009847001329696653
6,0.9161595015968571,0.9364193026610025,0.2919955130493708,0.7174309235163637,0.3827651485833506,0.7834884247397478,0.4453035148511178,0.0009729086208503173
7,0.9092548809240416,0.932940643132322,0.2935371635700486,0.7116834736329937,0.38405806292192235,0.7848119297765838,0.4484217230849928,0.0009578866633275287
8,0.9040996741735324,0.9304909154960321,0.2947522630394805,0.718828626241249,0.3851834667605488,0.7858710852393388,0.44782441709144194,0.0009397368756032445
9,0.9002932569192755,0.9291931419346269,0.29423135673610407,0.7170431352538592,0.38569585979092913,0.7863667624873177,0.4500415869428188,0.0009185832391312643
10,0.8970432067692311,0.927624213767451,0.29518906306955767,0.7195254890367258,0.3856576121194136,0.7868710914347246,0.44763339648253947,0.0008945702546981969
11,0.8945006386212603,0.9268095261482918,0.29696209559805953,0.7143224010716767,0.38693104769480946,0.7873544093532691,0.44967596580245006,0.0008678619553365659
12,0.8923551703006077,0.9263272683466435,0.2962169241496804,0.7136390263327801,0.3868405470584953,0.7876024698448587,0.4512020929498263,0.0008386407858128706
13,0.8904825591300919,0.9259555077845455,0.2966869588567703,0.7149247329029377,0.3876486963428623,0.7878277599105072,0.4529218395219322,0.0008071063563448339
14,0.8888963385607747,0.9252971206695495,0.2973526778718748,0.7167132122405002,0.38761319741969313,0.7880101204959036,0.4497911007025761,0.0007734740790612134
15,0.8874292567796827,0.9251707586676152,0.2965875077624064,0.7186121410111757,0.3874456437573933,0.7880998908966967,0.45093709769168594,0.0007379736965185367
16,0.8862244341163302,0.9251089670600323,0.29725153330056225,0.7174863709097916,0.3879090218388096,0.7882655597357064,0.45183382896278274,0.0007008477123264847
17,0.8852050300407909,0.9249605381450358,0.29705730534019154,0.7170539654189014,0.38772588350643955,0.7884692523133908,0.45250065757336644,0.0006623497346023419
18,0.8842933089857585,0.9248249774034742,0.29713397559106947,0.7140973681124797,0.38826932738737796,0.7885520065329805,0.45389974614023776,0.0006227427435703996
19,0.8834239627648015,0.9244902750387483,0.297573581079023,0.71565332055685,0.3884075800307918,0.7886550286565204,0.4532424032107185,0.000582297295140367
20,0.8826509308541,0.9247647719751296,0.29781771706067584,0.7149253424250409,0.3885820869260635,0.7886467815882368,0.45370691605701785,0.0005412896727361663
21,0.8819615646011146,0.9242625281712298,0.29742688658402655,0.7197904698141967,0.3883359555612702,0.78879578721321,0.4520168149086195,0.0005
22,0.8813161003176814,0.9245052653247902,0.2981284168169549,0.7147927488696892,0.3885663388495256,0.7887423128575265,0.4530153378513432,0.000458710327263834
23,0.8807553579904343,0.9243622705453544,0.297656891858444,0.7164292925228242,0.38852340251472445,0.7887949579531254,0.4530542667163387,0.00041770270485963316
24,0.880232168280166,0.9244704193383391,0.2972151838493464,0.7170337886971038,0.38832918686567913,0.7887214359115252,0.4528233916724205,0.00037725725642960036
25,0.8798553052491044,0.9244870770477324,0.29775758155775817,0.7154776399221915,0.3883684129897339,0.7887579510918169,0.4530801900835479,0.0003376502653976582
26,0.8794287948398765,0.9245125066597876,0.2982087665955316,0.7144259686818906,0.38866340833671664,0.7887990830628784,0.4535112964263862,0.00029915228767351534
27,0.8791161119160469,0.9246961706686402,0.2982694926789491,0.7143642218574139,0.38879680528238353,0.7887212168944971,0.45369723033667525,0.0002620263034814632
28,0.8788035546347709,0.9245501082682354,0.29808626857437204,0.7158519980704303,0.38862909881051105,0.7887156819788971,0.4529504620751752,0.00022652592093878648
29,0.8785235356216805,0.9246438294447611,0.2978327855082621,0.7155418207451463,0.38847133439118625,0.7887183323607061,0.4531323563198909,0.00019289364365516608
30,0.8783195428648781,0.9246951651216037,0.2980693754742087,0.7145896846291777,0.38872607544595,0.7887292654882444,0.453695599686123,0.0001613592141871294
31,0.878134155887044,0.9246452474685882,0.2981217999976095,0.7155469531126498,0.38881753910735906,0.7887169624318034,0.45342207114350425,0.0001321380446634342
32,0.8779462446123638,0.9246130550948115,0.29802987500796985,0.7159105623751546,0.3887304633261162,0.7887440469483803,0.4534030663958733,0.00010542974530180327
33,0.8778152900654599,0.9246666125188221,0.29811646883347337,0.7153372216822963,0.38872291002633197,0.7887472176523492,0.45350866940880624,8.141676086873573e-05
34,0.8777081543308832,0.92465733928734,0.2981010069251201,0.7153216613184613,0.38880043466486675,0.7887637751009441,0.45366125821822784,6.026312439675552e-05
35,0.8776160187065386,0.924675875432804,0.2981500774993163,0.7149789313090523,0.3888069934405789,0.7887652667449844,0.4538026872675423,4.211333667247125e-05
36,0.8775515721933104,0.9246855452059956,0.29839051685347917,0.7150005271063573,0.38903217853123845,0.7887559174209002,0.4540460539977271,2.709137914968268e-05
37,0.8775012241094567,0.9246623841542849,0.2983378062363252,0.7152372424765117,0.38900704569314043,0.7887550496822566,0.45392554576501437,1.529986703033476e-05
38,0.8774679967353932,0.9246759942576676,0.29830063221104286,0.7152798787393173,0.38899376757137055,0.7887529770323349,0.4539584662004838,6.819348298638839e-06
39,0.8774477519347065,0.924677139990017,0.2983138621417263,0.7152741126064373,0.3890066163092111,0.7887520262569071,0.4539804139856973,1.7077534966650766e-06
40,0.8774395835486251,0.9246766803652269,0.29829405794533054,0.715172481624718,0.388974806722911,0.7887516595048921,0.4539560580558973,0.0
