epoch,train_loss,val_loss,auc_roc_macro,f1_macro
1,0.2943477603001945,0.29354020293000377,0.7726706028237146,0.19794607564910566
2,0.28807218151057046,0.2926766514023648,0.7756736401249322,0.18711092890402728
3,0.28601204318120055,0.29044936710520636,0.7762194608086463,0.21977249762125114
4,0.2850349841642082,0.291688465619389,0.7776071761951322,0.22160071313517513
5,0.28417988630137764,0.29075211135646967,0.7758177410500989,0.23071696710161835
6,0.28323325223637724,0.28715295372884486,0.7802673593895894,0.25162578865648244
7,0.28294514646852925,0.2884048736548122,0.7821005706962385,0.25950887952602475
8,0.2824437167429317,0.2881282413307625,0.7831289322083592,0.2472750574454333
9,0.28223687642849926,0.29256838201722013,0.7829332470000679,0.2586739543931283
10,0.28205090475036615,0.29085784905318973,0.783531389062855,0.2342081228732637
