Step,Train_Loss,Val_Loss,LR
625,1.8643,1.846747875213623,7.50480307396734e-06
1250,1.0014,1.3618229627609253,1.500960614793468e-05
1875,0.9173,1.3609697818756104,2.251440922190202e-05
2500,0.8533,1.1134698390960693,3.001921229586936e-05
3125,0.8223,1.1634751558303833,3.75240153698367e-05
3750,0.7942,1.0196071863174438,4.502881844380404e-05
4375,0.7877,1.0462487936019897,5.253362151777138e-05
5000,0.7667,1.0047781467437744,6.003842459173872e-05
5625,0.7323,0.8540075421333313,6.754322766570606e-05
6250,0.7463,0.8123496770858765,7.50480307396734e-05
6875,0.7501,0.8156270980834961,8.255283381364072e-05
7500,0.7405,0.7927989959716797,9.005763688760808e-05
8125,0.7279,0.836717426776886,9.756243996157542e-05
8750,0.7257,0.794855535030365,9.999217855706455e-05
9375,0.7165,5.370100498199463,9.995186101102346e-05
10000,0.714,4.839323997497559,9.987726509482842e-05
10625,0.7145,0.7807170748710632,9.97684419982925e-05
11250,0.7066,5.602800369262695,9.962546639888134e-05
11875,0.6968,2.559771776199341,9.944843641046738e-05
12500,0.6956,0.9218471646308899,9.923747351600138e-05
13125,0.6925,0.854789674282074,9.899272248414738e-05
13750,0.6823,4.159661769866943,9.87143512699384e-05
14375,0.6896,0.9988031387329102,9.8402550899521e-05
15000,0.6826,2.8080644607543945,9.805753533906766e-05
15625,0.6816,5.868076324462891,9.767954134794733e-05
16250,0.6827,5.0956010818481445,9.726882831625443e-05
16875,0.6778,5.14195442199707,9.682567808680807e-05
