Step,Train_Loss,Val_Loss,BLEU-4,ROUGE-L
125,1.8844,0.372437983751297,0.0,0.0
250,0.2819,0.3244304358959198,0.0,0.0
375,0.268,0.32162532210350037,0.0,0.0
500,0.2684,0.3209930658340454,0.0,0.0
625,0.2665,0.3209694027900696,0.0,0.0
750,0.2701,0.32011038064956665,0.0,0.0
875,0.2649,0.3209345042705536,0.0,0.0
1000,0.2651,0.32030975818634033,0.0,0.0
1125,0.2677,0.319991797208786,0.0,0.0
1250,0.2643,0.32034972310066223,0.0,0.0
1375,0.2618,0.3213299512863159,0.0,0.0
1500,0.2659,0.32004913687705994,0.0,0.0
1625,0.2635,0.32099857926368713,0.0,0.0
1750,0.2614,0.3208319842815399,0.0,0.0
1875,0.2653,0.3199300169944763,0.0,0.0
2000,0.2653,0.3199729919433594,0.0,0.0
2125,0.2609,0.3204907178878784,0.0,0.0
2250,0.261,0.32013213634490967,0.0,0.0
2375,0.2634,0.31965669989585876,0.0,0.0
2500,0.2536,0.32091450691223145,0.0,0.0
2625,0.2601,0.32013219594955444,0.0,0.0
2750,0.2621,0.3196806013584137,0.0,0.0
2875,0.2611,0.31902408599853516,0.0,0.0
3000,0.2559,0.32058507204055786,0.0,0.0
3125,0.2568,0.3205093741416931,0.0,0.0
3250,0.2553,0.32017892599105835,0.0,0.0
3375,0.2505,0.3204813003540039,0.0,0.0
3500,0.2628,0.3208816349506378,0.0,0.0
3625,0.2527,0.31993189454078674,0.0,0.0
3750,0.252,0.32117679715156555,0.0,0.0
3875,0.2541,0.3212428390979767,0.0,0.0
4000,0.2561,0.32047343254089355,0.0,0.0
4125,0.2572,0.3216336965560913,0.0,0.0
