config_name,llm_r,vit_r,lr_llm,lr_vit,total_steps,best_val_loss,best_step,final_train_loss,timestamp
Config_B1,32,8,0.0001,5e-05,2500,0.31613466143608093,1250,0.2439,2026-05-29 20:23:46
Config_A2,16,16,0.0001,5e-05,4125,0.31902408599853516,2875,0.2572,2026-05-29 11:26:32
