metrica,media_sucio,media_limpio,delta_medio,std_sucio,std_limpio,mejora_pct,n_mejoran,n_empeoran,n_iguales
bleu4,0.1133378411885091,0.04977398095906226,-0.06356386022944686,0.09022965222270707,0.050560366143098674,-56.08352829283585,1311,17826,0
rougeL,0.254524603779062,0.2216947858716999,-0.03282981790736211,0.09918004436960444,0.09619992721999931,-12.89848502656339,5019,14100,18
radgraph,0.16711903678039183,0.1688844485819725,0.001765411801580672,0.13392267481994471,0.13339082002041946,1.0563798329573717,8372,5557,5208
bertscore_p,0.7752660728830238,0.7460670933464562,-0.029198979536567717,0.0393248720267933,0.033744817047546095,-3.766317211326415,2391,16746,0
bertscore_r,0.7840385150839656,0.743264092767152,-0.04077442231681359,0.04741467574786731,0.047800959160846784,-5.200563688181429,55,19082,0
bertscore_f1,0.77884925184513,0.7440475953119254,-0.03480165653320454,0.035952163447953614,0.03547719885450318,-4.468343065202644,682,18455,0
