metrica,media_sucio,media_limpio,delta_medio,std_sucio,std_limpio,mejora_pct,n_mejoran,n_empeoran,n_iguales
bleu4,0.1435227057682603,0.05166116558672067,-0.09186154018153961,0.11304882582835797,0.057441569788162006,-64.00488319239489,221,18916,0
rougeL,0.3060601882843076,0.2308883978157644,-0.0751717904685432,0.12463327698149503,0.114578867069525,-24.5611135802851,1276,17847,14
radgraph,0.20050989948390385,0.194604810560274,-0.005905088923629826,0.1647645214529627,0.158485456495778,-2.945036099877883,4405,5565,9167
bertscore_p,0.8101977767438271,0.7647711561971643,-0.04542662054666277,0.044577039701555445,0.03899816740628607,-5.606855739500013,354,18783,0
bertscore_r,0.7771882791345244,0.7302529118885446,-0.04693536724597987,0.04818483647051359,0.04315709170090342,-6.039124431758932,25,19112,0
bertscore_f1,0.7928946838892447,0.7466664275399456,-0.04622825634929898,0.04251254270076635,0.03693661728601342,-5.830314831037051,76,19061,0
