config_name,r,alpha,lr,total_steps,best_val_loss,best_step,final_train_loss,timestamp
Config_B,32,64,0.0001,21000,0.314444899559021,16000,0.245,2026-05-18 07:48:49
Config_A,16,32,0.0001,34500,0.32364827394485474,29500,0.2732,2026-05-16 22:17:07
