Step,Val_Loss,BLEU-4,ROUGE-L
500,0.4443216025829315,0.0,0.0
1000,0.40470975637435913,0.0,0.0
1500,0.38544961810112,0.0,0.0
2000,0.3716052770614624,0.0,0.0
2500,0.3618399202823639,0.0,0.0
3000,0.35455265641212463,0.0,0.0
3500,0.34818241000175476,0.0,0.0
4000,0.34408944845199585,0.0,0.0
4500,0.33991122245788574,0.0,0.0
5000,0.3361397385597229,0.0,0.0
5500,0.33363077044487,0.0,0.0
6000,0.330642431974411,0.0,0.0
6500,0.32816529273986816,0.0,0.0
7000,0.32711151242256165,0.0,0.0
7500,0.3245304524898529,0.0,0.0
8000,0.32250431180000305,0.0,0.0
8500,0.3220919072628021,0.0,0.0
9000,0.32113116979599,0.0,0.0
9500,0.3194774091243744,0.0,0.0
10000,0.3192981779575348,0.0,0.0
10500,0.318484902381897,0.0,0.0
11000,0.31700146198272705,0.0,0.0
11500,0.31557682156562805,0.0,0.0
12000,0.3162280321121216,0.0,0.0
12500,0.31576427817344666,0.0,0.0
13000,0.3155992031097412,0.0,0.0
13500,0.31545838713645935,0.0,0.0
14000,0.31523367762565613,0.0,0.0
14500,0.3147924542427063,0.0,0.0
15000,0.31653115153312683,0.0,0.0
15500,0.31470122933387756,0.0,0.0
16000,0.314444899559021,0.0,0.0
16500,0.31610819697380066,0.0,0.0
17000,0.3161708414554596,0.0,0.0
17500,0.31576988101005554,0.0,0.0
18000,0.3149443566799164,0.0,0.0
18500,0.31961119174957275,0.0,0.0
19000,0.3161744773387909,0.0,0.0
19500,0.31537383794784546,0.0,0.0
20000,0.3167160451412201,0.0,0.0
20500,0.31559446454048157,0.0,0.0
21000,0.3167853355407715,0.0,0.0
