Step,Val_Loss
500,0.46359121799468994
1000,0.4240056574344635
1500,0.40458858013153076
2000,0.3915960192680359
2500,0.38160157203674316
3000,0.3785414695739746
3500,0.3718514144420624
4000,0.366303026676178
4500,0.36244311928749084
5000,0.3582099676132202
5500,0.3558337986469269
6000,0.3519187271595001
6500,0.3495802879333496
7000,0.3475686311721802
7500,0.345013290643692
8000,0.34254899621009827
8500,0.3405427634716034
9000,0.34011179208755493
9500,0.33826500177383423
10000,0.33667948842048645
10500,0.33604696393013
11000,0.33473971486091614
11500,0.3332560956478119
12000,0.33328717947006226
12500,0.33191272616386414
13000,0.33199650049209595
13500,0.33045271039009094
14000,0.3297162353992462
14500,0.3288882076740265
15000,0.3294931948184967
15500,0.32834991812705994
16000,0.32788363099098206
16500,0.32748860120773315
17000,0.3276609480381012
17500,0.3270150125026703
18000,0.32606241106987
18500,0.32670077681541443
19000,0.3255161643028259
19500,0.3255651891231537
20000,0.32536301016807556
20500,0.3255433440208435
21000,0.32520216703414917
21500,0.32590824365615845
22000,0.32583892345428467
22500,0.32476359605789185
23000,0.32491645216941833
23500,0.325982004404068
24000,0.32486048340797424
24500,0.32403483986854553
25000,0.3250398337841034
25500,0.32479217648506165
26000,0.3250071108341217
26500,0.32452577352523804
27000,0.3247827887535095
27500,0.324328750371933
28000,0.32421261072158813
28500,0.3248109817504883
29000,0.32563939690589905
29500,0.32364827394485474
30000,0.3250887393951416
30500,0.3246645927429199
31000,0.32444125413894653
31500,0.3248729109764099
32000,0.32531410455703735
32500,0.3254115879535675
33000,0.3256852626800537
33500,0.3257773816585541
34000,0.32509317994117737
34500,0.32526323199272156
