epoch,train_loss,val_loss,auc_roc_macro,f1_macro
1,0.2922064908210097,0.2934395738794834,0.7758517343709274,0.25058647189288913
2,0.2868282366302571,0.2892108899128588,0.7807688773091044,0.246911408514049
3,0.2854560222181631,0.29526086132737656,0.7845225471976587,0.2554806256327255
4,0.2846952098253193,0.29503858900522884,0.7812682087816738,0.25712865940938495
5,0.28401102129936906,0.29699647143671787,0.7868964425433528,0.2991109105008455
6,0.28332823053524575,0.2894000037561489,0.7843061782091993,0.2222751325915659
7,0.28292155222170523,0.29026660021347334,0.7835337744166283,0.25475513317373394
8,0.2825322995535525,0.2920132517060147,0.7803314487405514,0.21942620025689655
9,0.2822909595098738,0.29677031915399094,0.7842725990140688,0.2892499031747377
10,0.2818849205656001,0.2861939219734337,0.7850391143686704,0.25170023179811707
