Step,Val_Loss,BLEU-4,ROUGE-L
50,0.34862518310546875,0.0,0.0
100,0.3146141469478607,0.0,0.0
150,0.306845486164093,0.0,0.0
200,0.30557024478912354,0.0,0.0
250,0.3033801317214966,0.0,0.0
300,0.3008350431919098,0.0,0.0
350,0.3024775981903076,0.0,0.0
400,0.3011125326156616,0.0,0.0
450,0.30034178495407104,0.0,0.0
500,0.30172646045684814,0.0,0.0
550,0.30288276076316833,0.0,0.0
600,0.303562730550766,0.0,0.0
650,0.30199939012527466,0.0,0.0
700,0.3055271804332733,0.0,0.0
750,0.30469709634780884,0.0,0.0
800,0.3068177402019501,0.0,0.0
850,0.3092353343963623,0.0,0.0
900,0.30945587158203125,0.0,0.0
950,0.309353232383728,0.0,0.0
