Step,Val_Loss,BLEU-4,ROUGE-L
50,0.3603675365447998,0.0,0.0
100,0.31939151883125305,0.0,0.0
150,0.30955782532691956,0.0,0.0
200,0.3063217103481293,0.0,0.0
250,0.30405235290527344,0.0,0.0
300,0.3028726279735565,0.0,0.0
350,0.30298900604248047,0.0,0.0
400,0.3021555244922638,0.0,0.0
450,0.3020084798336029,0.0,0.0
500,0.30239230394363403,0.0,0.0
550,0.3031073808670044,0.0,0.0
600,0.30367881059646606,0.0,0.0
650,0.3031051754951477,0.0,0.0
700,0.3051965534687042,0.0,0.0
750,0.30401086807250977,0.0,0.0
800,0.3046192526817322,0.0,0.0
850,0.30643463134765625,0.0,0.0
900,0.3070812225341797,0.0,0.0
950,0.30668720602989197,0.0,0.0
