config_name,llm_r,vit_r,lr_llm,lr_vit,total_steps,best_val_loss,best_step,final_train_loss,timestamp
Config_B1,32,8,0.0001,5e-05,950,0.300341784954071,450,0.2226,2026-05-27 21:38:07
Config_B2,32,16,0.0001,5e-05,950,0.3011023700237274,450,0.2228,2026-05-27 22:11:21
Config_A2,16,16,0.0001,5e-05,950,0.3019857406616211,450,0.2466,2026-05-27 21:05:05
Config_A1,16,8,0.0001,5e-05,950,0.3020084798336029,450,0.2464,2026-05-27 20:32:44
