epoch,train_loss,val_loss,auc_roc_macro,f1_macro
1,0.29243410628716415,0.293484526721737,0.7801662243332137,0.29125928391398
2,0.28754020659355833,0.29424871485444565,0.7826092916706558,0.2457873275497171
3,0.28614365271919917,0.29280317112614834,0.7848362578916568,0.21913478071216524
4,0.2852943546773148,0.2904137836981423,0.7790692122004309,0.2529649376995037
5,0.2849161748238269,0.29281816640986674,0.7852608846483884,0.2583646353489529
6,0.2840636664222652,0.2962611245958111,0.7782984438214368,0.2422522500569415
7,0.2835322178388752,0.290555230424374,0.7853196111783945,0.2563927677110685
8,0.2834698973698394,0.29299503149865547,0.7807360510868946,0.24459842542906074
9,0.28322660459444265,0.30128221062919763,0.780467456520256,0.2617823271500326
10,0.28273498121357515,0.29244987308224546,0.7853561078393049,0.23063727819289018
