scope,precision,recall,f1,TP,FP,FN,TN,accuracy_binaria
micro (pooled 14 clases),0.08888888888888889,0.3333333333333333,0.14035087719298245,4.0,41.0,8.0,59.0,0.5625
macro (nanmean 14 clases),0.07916666666666666,0.3,0.373015873015873,,,,,
