metrica,media_original,media_formateado,delta_medio,std_original,std_formateado,mejora_pct,n_mejoran,n_empeoran,n_iguales
bleu4,0.03759575325084359,0.02836939862239575,-0.009226354628447848,0.039668677792593844,0.03068796009728304,-24.540948992000374,2,6,0
rougeL,0.14715898998841384,0.15035196942533785,0.003192979436923985,0.0752875627035767,0.07220023812984179,2.1697481323943415,2,2,4
radgraph,0.11504344884129394,0.11392690447579791,-0.0011165443654960333,0.09064748538194928,0.09002357934583145,-0.9705414578072511,1,4,3
bertscore_p,0.7228969931602478,0.730012372136116,0.007115378975868225,0.04930142786798007,0.0373702547554476,0.984286702419708,2,6,0
bertscore_r,0.7972000390291214,0.7955484241247177,-0.0016516149044036865,0.017353020266911844,0.01832061834879668,-0.2071769723462537,2,6,0
bertscore_f1,0.7575391158461571,0.7610045298933983,0.003465414047241211,0.03159470051175016,0.02498470777365509,0.4574567800859244,2,6,0
