scope,precision,recall,f1,TP,FP,FN,TN,accuracy_binaria
micro (pooled 14 clases),0.14863766370615686,0.3940353304246036,0.2158518723630614,14811.0,84834.0,22777.0,145496.0,0.5983435230182369
macro (nanmean 14 clases),0.16033603751237274,0.38772422385377425,0.18723253026150904,,,,,
