metrica,media_original,media_formateado,delta_medio,std_original,std_formateado,mejora_pct,n_mejoran,n_empeoran,n_iguales
bleu4,0.04315164138180517,0.08131246974885635,0.03816082836705119,0.03440404780745877,0.07476278049411093,88.43424524551608,14768,4352,17
rougeL,0.1333750730504243,0.22503687675630726,0.09166180370588298,0.04578272102589318,0.0913361968293299,68.72483861450556,16711,1349,1077
radgraph,0.14572370285768727,0.16816775058730668,0.02244404772961942,0.09924406534937052,0.13473451288149313,15.401782475660886,10956,5910,2271
bertscore_p,0.7163591847534606,0.7597343846785709,0.043375199925110255,0.028772431305408058,0.03641907073959386,6.054951321666672,17111,2026,0
bertscore_r,0.7847569663833475,0.7743622707387475,-0.010394695644599924,0.03282975826089508,0.040177942396918805,-1.3245751347076542,6120,13017,0
bertscore_f1,0.7485200320564916,0.7664276328824148,0.017907600825923162,0.02405403865973327,0.03227611177581593,2.3924010125318405,14345,4792,0
