Step,Train_Loss,Val_Loss,BLEU-4,ROUGE-L
1000,0.7206,0.8308430910110474,0.0,0.0
1500,0.7194,0.8289859890937805,0.0,0.0
2000,0.7119,0.829007625579834,0.0,0.0
2500,0.7148,0.8284057974815369,0.0,0.0
3000,0.7163,0.8278552293777466,0.0,0.0
3500,0.7197,0.8270593285560608,0.0,0.0
4000,0.7138,0.8271470069885254,0.0,0.0
4500,0.7186,0.8266351819038391,0.0,0.0
5000,0.7129,0.8267925381660461,0.0,0.0
5500,0.7115,0.8268956542015076,0.0,0.0
6000,0.7188,0.8269351720809937,0.0,0.0
6500,0.7129,0.8264621496200562,0.0,0.0
7000,0.7145,0.8264570236206055,0.0,0.0
7500,0.7141,0.8263946771621704,0.0,0.0
8000,0.7174,0.826068639755249,0.0,0.0
8500,0.7169,0.8263490200042725,0.0,0.0
9000,0.7144,0.8261815309524536,0.0,0.0
9500,0.714,0.8262038230895996,0.0,0.0
10000,0.7137,0.8266460299491882,0.0,0.0
10500,0.718,0.8261493444442749,0.0,0.0
11000,0.7145,0.8260973691940308,0.0,0.0
11500,0.7128,0.8260677456855774,0.0,0.0
12000,0.7142,0.8258886337280273,0.0,0.0
12500,0.7171,0.8259677886962891,0.0,0.0
13000,0.7161,0.8257585763931274,0.0,0.0
13500,0.7127,0.8260034918785095,0.0,0.0
14000,0.7141,0.8257831335067749,0.0,0.0
14500,0.7153,0.8256673216819763,0.0,0.0
15000,0.7178,0.8257948160171509,0.0,0.0
15500,0.7159,0.8257179260253906,0.0,0.0
16000,0.7131,0.8256850242614746,0.0,0.0
16500,0.711,0.825688898563385,0.0,0.0
17000,0.7135,0.8259930610656738,0.0,0.0
