metrica,media_sucio,media_limpio,delta_medio,std_sucio,std_limpio,mejora_pct,n_mejoran,n_empeoran,n_iguales
bleu4,0.04795306262571584,0.09931158552271567,0.05135852289699982,0.026647428286034124,0.06337096269673032,107.10165333518809,28,1,1
rougeL,0.1445939684603025,0.24041480243921753,0.095820833978915,0.036872493095649585,0.06303537339332506,66.26890111617767,29,0,1
radgraph,0.13768287741042443,0.14808470230094034,0.010401824890515908,0.10165685584891959,0.11868128245528858,7.55491538683397,20,5,5
bertscore_p,0.7239447911580403,0.7743541558583578,0.050409364700317386,0.02502617444233357,0.034927542492443855,6.963150410914801,29,0,1
bertscore_r,0.7990504225095113,0.7894398947556813,-0.009610527753829956,0.027789851605131644,0.032485234423185884,-1.2027435920310223,11,18,1
bertscore_f1,0.7594885428746542,0.7813437978426615,0.021855254968007404,0.023949655452620747,0.027610941166850957,2.8776280001914905,26,3,1
