epoch,train_loss,val_loss,auc_roc_macro,f1_macro
1,0.2937771203966594,0.2943332651747933,0.7732850308713083,0.24065586001759168
2,0.28891923075762727,0.2942278424773035,0.7776744560609068,0.19843772330856296
3,0.2870837631302274,0.2961713632073584,0.7798331866017321,0.24734251524157977
4,0.2867300398665669,0.30140759673299666,0.7805172453216287,0.27746655093267514
5,0.2856018148573671,0.2993152313217332,0.7770667106868624,0.275982642885117
6,0.28530799512730387,0.29446001879022093,0.7850783313216292,0.26589187373446965
7,0.2849758081978694,0.28983787645267534,0.7799916161889937,0.26303455172627227
8,0.28468441317931886,0.29665577788896197,0.7797791387059295,0.22624363651082138
9,0.2846232675269883,0.2964499758768685,0.7817417860440912,0.26650435819257445
10,0.2839257066217227,0.2944140934114215,0.7770510151775092,0.2581930149101643
