Step,Train_Loss,Val_Loss,LR
625,7.9263,7.900908470153809,7.50480307396734e-07
1250,4.0088,3.3789680004119877,1.500960614793468e-06
1875,2.094,2.0050668716430664,2.251440922190202e-06
2500,1.5359,1.4675755500793457,3.001921229586936e-06
3125,1.261,1.2309259176254272,3.75240153698367e-06
3750,1.1709,1.163725972175598,4.502881844380404e-06
4375,1.1407,1.1233304738998413,5.253362151777138e-06
5000,1.0969,1.0923621654510498,6.003842459173872e-06
5625,1.0512,1.0631110668182373,6.754322766570606e-06
6250,1.0416,1.0347498655319214,7.50480307396734e-06
6875,1.0277,1.006291389465332,8.255283381364073e-06
7500,0.9987,0.9838446378707886,9.005763688760807e-06
8125,0.9704,0.9622724652290344,9.756243996157542e-06
8750,0.9546,0.9436891078948976,9.999217855706457e-06
9375,0.938,0.9308448433876038,9.995186101102346e-06
10000,0.9306,0.9206369519233704,9.987726509482842e-06
10625,0.9295,0.9135940670967102,9.97684419982925e-06
11250,0.9213,0.9077316522598268,9.962546639888134e-06
11875,0.9077,0.9033591747283936,9.944843641046738e-06
12500,0.9061,0.8994162678718567,9.92374735160014e-06
13125,0.9027,0.8962740898132324,9.899272248414738e-06
13750,0.8896,0.8937045335769653,9.87143512699384e-06
14375,0.9039,0.8910675644874573,9.8402550899521e-06
15000,0.8931,0.8894796371459961,9.805753533906766e-06
15625,0.8906,0.887209415435791,9.767954134794732e-06
16250,0.8922,0.885915994644165,9.726882831625444e-06
16875,0.8912,0.8845360279083252,9.682567808680807e-06
17500,0.8821,0.883064329624176,9.635039476174362e-06
18125,0.8909,0.8828778266906738,9.584330449382926e-06
18750,0.8893,0.8814470767974854,9.53047552626508e-06
19375,0.8792,0.8806394934654236,9.47351166358183e-06
20000,0.8825,0.8798876404762268,9.41347795153584e-06
20625,0.8954,0.8794258236885071,9.350415586946646e-06
21250,0.8793,0.8790108561515808,9.28436784498022e-06
21875,0.881,0.8784633874893188,9.215380049452355e-06
22500,0.8867,0.8782232403755188,9.143499541726188e-06
23125,0.8868,0.8777424693107605,9.06877564822521e-06
23750,0.8853,0.8774953484535217,8.991259646584106e-06
24375,0.885,0.8774215579032898,8.9110047304606e-06
25000,0.89,0.8770604729652405,8.828065973032463e-06
25625,0.8801,0.8767828345298767,8.742500289204761e-06
26250,0.8818,0.8767270445823669,8.654366396553238e-06
26875,0.8839,0.876516580581665,8.563724775030686e-06
27500,0.8799,0.8764529228210449,8.470637625463874e-06
28125,0.8789,0.8764286637306213,8.375168826869623e-06
28750,0.883,0.8762686252593994,8.277383892619202e-06
29375,0.8805,0.8761757016181946,8.177349925481237e-06
30000,0.8833,0.8760740756988525,8.075135571573898e-06
30625,0.8832,0.8760186433792114,7.970810973257991e-06
31250,0.8772,0.8759750723838806,7.864447721003319e-06
31875,0.8778,0.8760758638381958,7.756118804261283e-06
32500,0.8798,0.8761252760887146,7.645898561377466e-06
33125,0.8884,0.8759684562683105,7.533862628578579e-06
33750,0.8833,0.8757705092430115,7.420087888068754e-06
34375,0.8791,0.8756681680679321,7.304652415270819e-06
35000,0.8859,0.875795841217041,7.187635425248741e-06
35625,0.88,0.8757947683334351,7.069117218348038e-06
36250,0.876,0.875787615776062,6.949179125091412e-06
36875,0.8761,0.8757641911506653,6.827903450367472e-06
37500,0.8762,0.8758292198181152,6.705373416950799e-06
38125,0.8846,0.8757472634315491,6.5816731083921435e-06
38750,0.8765,0.8757039308547974,6.456887411317931e-06
39375,0.8823,0.8756967186927795,6.3311019571786795e-06
40000,0.8767,0.8756762742996216,6.204403063486278e-06
40625,0.8828,0.8755708932876587,6.0768776745805025e-06
41250,0.8907,0.8756518363952637,5.94861330196536e-06
41875,0.8783,0.8756399154663086,5.819697964256233e-06
42500,0.8822,0.8756744861602783,5.690220126779039e-06
43125,0.8838,0.8756725788116455,5.560268640862836e-06
43750,0.8824,0.8756803274154663,5.429932682867546e-06
44375,0.8828,0.8756949305534363,5.299301692988633e-06
45000,0.8807,0.8756435513496399,5.168465313880724e-06
45625,0.8807,0.8756310939788818,5.037513329142305e-06
46250,0.8839,0.8756477236747742,4.906535601703693e-06
46875,0.8802,0.8756413459777832,4.775622012160572e-06
