Step,Train_Loss,Val_Loss,BLEU-4,ROUGE-L
625,0.7104,0.6674120426177979,0.0,0.0
1250,0.6566,0.6326145529747009,0.0,0.0
1875,0.6312,0.6078452467918396,0.0,0.0
2500,0.6176,0.5988785028457642,0.0,0.0
3125,0.6116,0.594978392124176,0.0,0.0
3750,0.6057,0.5858663320541382,0.0,0.0
4375,0.5877,0.580411434173584,0.0,0.0
5000,0.5924,0.5761715173721313,0.0,0.0
5625,0.5828,0.5736435055732727,0.0,0.0
6250,0.5755,0.5771121382713318,0.0,0.0
6875,0.5723,0.5641646385192871,0.0,0.0
7500,0.5677,0.5773475766181946,0.0,0.0
8125,0.5611,0.5569103956222534,0.0,0.0
8750,0.553,0.5560823082923889,0.0,0.0
9375,0.5505,0.5609843730926514,0.0,0.0
10000,0.5438,0.5517479777336121,0.0,0.0
10625,0.5362,0.5497334003448486,0.0,0.0
11250,0.5416,0.5498648285865784,0.0,0.0
11875,0.5353,0.5463001728057861,0.0,0.0
12500,0.5311,0.5503349900245667,0.0,0.0
13125,0.5228,0.5429041981697083,0.0,0.0
13750,0.529,0.5510969758033752,0.0,0.0
14375,0.5195,0.5395880341529846,0.0,0.0
15000,0.5223,0.5396944880485535,0.0,0.0
15625,0.5197,0.547494649887085,0.0,0.0
16250,0.5185,0.537449061870575,0.0,0.0
16875,0.5142,0.5372517704963684,0.0,0.0
17500,0.5104,0.5384083390235901,0.0,0.0
18125,0.5073,0.5354708433151245,0.0,0.0
18750,0.5103,0.5402121543884277,0.0,0.0
19375,0.5068,0.5345622301101685,0.0,0.0
20000,0.4991,0.5392137169837952,0.0,0.0
20625,0.5072,0.5321046113967896,0.0,0.0
21250,0.5013,0.532105028629303,0.0,0.0
21875,0.4914,0.5414314270019531,0.0,0.0
22500,0.4972,0.530403196811676,0.0,0.0
23125,0.4849,0.5328320264816284,0.0,0.0
23750,0.4933,0.5349716544151306,0.0,0.0
24375,0.492,0.5312085747718811,0.0,0.0
25000,0.5118,0.5328298807144165,0.0,0.0
25625,0.4865,0.5307247638702393,0.0,0.0
26250,0.4811,0.5337429046630859,0.0,0.0
26875,0.4897,0.5293126106262207,0.0,0.0
27500,0.4849,0.5299209356307983,0.0,0.0
28125,0.4839,0.5372728109359741,0.0,0.0
28750,0.4802,0.5287320017814636,0.0,0.0
29375,0.4803,0.5298292636871338,0.0,0.0
30000,0.4738,0.5320606231689453,0.0,0.0
30625,0.4777,0.5287362337112427,0.0,0.0
31250,0.4789,0.5289389491081238,0.0,0.0
31875,0.4719,0.5282975435256958,0.0,0.0
32500,0.4686,0.5303930640220642,0.0,0.0
33125,0.4741,0.5284894108772278,0.0,0.0
33750,0.4671,0.5281407237052917,0.0,0.0
34375,0.4711,0.5349833369255066,0.0,0.0
35000,0.4779,0.527187705039978,0.0,0.0
35625,0.4625,0.5279155373573303,0.0,0.0
36250,0.4683,0.531376302242279,0.0,0.0
36875,0.4737,0.5272143483161926,0.0,0.0
37500,0.5107,0.5282528400421143,0.0,0.0
38125,0.4622,0.528607189655304,0.0,0.0
38750,0.4666,0.5286902189254761,0.0,0.0
39375,0.464,0.5277101397514343,0.0,0.0
40000,0.4611,0.527387797832489,0.0,0.0
40625,0.4577,0.5325497984886169,0.0,0.0
41250,0.4647,0.527064859867096,0.0,0.0
41875,0.462,0.5272514224052429,0.0,0.0
42500,0.4558,0.5307329297065735,0.0,0.0
43125,0.4553,0.5261821746826172,0.0,0.0
43750,0.4644,0.528109073638916,0.0,0.0
44375,0.4607,0.5281867384910583,0.0,0.0
45000,0.4587,0.5287997722625732,0.0,0.0
45625,0.462,0.5274272561073303,0.0,0.0
46250,0.4535,0.5270822644233704,0.0,0.0
46875,0.4572,0.5297724604606628,0.0,0.0
47500,0.4542,0.5267722010612488,0.0,0.0
48125,0.4556,0.5273216962814331,0.0,0.0
48750,0.458,0.528739869594574,0.0,0.0
49375,0.4575,0.5274730920791626,0.0,0.0
