metrica,media_sucio,media_limpio,delta_medio,std_sucio,std_limpio,mejora_pct,n_mejoran,n_empeoran,n_iguales
bleu4,0.13172352356392375,0.03539498625035703,-0.09632853731356675,0.10533406676244444,0.04556688907318156,-73.12933537404179,121,19016,0
rougeL,0.2904874033170835,0.20865541740098978,-0.08183198591609368,0.1175601064919825,0.10762600867376325,-28.17057985360192,1046,18078,13
radgraph,0.1938779483380582,0.19003203848959543,-0.0038459098484627694,0.17116313368025357,0.1683659331808949,-1.9836757513839538,7163,4531,7443
bertscore_p,0.8055920730864559,0.7669837980576367,-0.038608275028819194,0.045469880055708414,0.04522296809463052,-4.792534127216489,534,18603,0
bertscore_r,0.7679421931260705,0.7165508183708147,-0.051391374755255785,0.04829005669693007,0.03783433165001665,-6.692088963891457,2,19135,0
bertscore_f1,0.7858837532506265,0.7405238363687637,-0.045359916881862875,0.043249365140600286,0.0378083291623257,-5.771835426580847,9,19128,0
