Step,Train_Loss,Val_Loss
625,0.5342,0.6017957329750061
1250,0.4799,0.5413970947265625
1875,0.468,0.5329692363739014
2500,0.4632,0.5328726172447205
3125,0.4597,0.533007025718689
3750,0.4578,0.5309686064720154
4375,0.4575,0.5311832427978516
5000,0.4557,0.5298150181770325
5625,0.421,0.5309603810310364
6250,0.4641,0.5303565859794617
6875,0.4686,0.5306099653244019
7500,0.4531,0.5302665829658508
8125,0.455,0.5286117196083069
8750,0.456,0.5285941958427429
9375,0.4565,0.5305107235908508
10000,0.4522,0.5301084518432617
10625,0.4449,0.5289515256881714
11250,0.457,0.5285585522651672
11875,0.4516,0.5304733514785767
12500,0.4507,0.5303956866264343
13125,0.4543,0.5308377146720886
13750,0.4533,0.5297025442123413
14375,0.4446,0.528204619884491
15000,0.4546,0.5288621783256531
15625,0.4455,0.5292940735816956
16250,0.4551,0.5308863520622253
16875,0.4567,0.530823290348053
17500,0.4522,0.5281801223754883
18125,0.452,0.5290837287902832
18750,0.4627,0.5298820734024048
19375,0.4615,0.5304264426231384
20000,0.4564,0.5300021767616272
20625,0.4509,0.5289067029953003
21250,0.4558,0.5293108820915222
21875,0.4568,0.5279877185821533
22500,0.452,0.5282039642333984
23125,0.4501,0.5299834609031677
23750,0.4517,0.5299879908561707
24375,0.452,0.5290464162826538
25000,0.4718,0.5293205380439758
25625,0.4485,0.5281137228012085
26250,0.4518,0.5291193723678589
26875,0.4544,0.528237521648407
