epoch,train_loss,val_loss,auc_roc_macro,f1_macro
1,0.29309625927210425,0.29507348130020916,0.7781258842110762,0.21166936733690647
2,0.2867129892897732,0.28971868583673166,0.7777004508412919,0.23728004929468738
3,0.28513884278970214,0.2905399497551254,0.7841260004010954,0.22703725163959665
4,0.2839879157791559,0.293302938719339,0.7844779514370827,0.28988165031073804
5,0.2830563389834337,0.28932727665840824,0.7870873095226399,0.2337714938670182
6,0.28251138896079114,0.2880156115640568,0.7886516966696238,0.27081689231761846
7,0.2821569859237552,0.2899626734890515,0.7872156084078742,0.25137089581342126
8,0.281665275189033,0.2852553248028212,0.7873107973179989,0.24713069603647161
9,0.281057404136921,0.2874081072550786,0.7867064831610976,0.24776350216445484
10,0.2810475026551085,0.29074507234971736,0.7887604141751406,0.265716530324595
